Salle,Film,Version,Relief,Payants,Gratuits,Places libres,Taux remplissage,date,time
SALLE 6,L'île De Black Mór,FR,2D,136.0,10.0,142.0,"50,69%",27/11/2018,09:45
SALLE 2,Diamant Noir,FR,2D,53.0,,91.0,"36,81%",27/11/2018,10:55
SALLE 2,"Sobibor, 14 Octobre 1943, 16 Heures",FR,2D,54.0,,90.0,"37,50%",27/11/2018,14:00
SALLE 1,Cold War,VO,2D,6.0,,87.0,"6,45%",27/11/2018,20:30
SALLE 2,Bohemian Rhapsody,VF,2D,64.0,,80.0,"44,44%",27/11/2018,20:30
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,25.0,,167.0,"13,02%",27/11/2018,20:30
SALLE 4,Casse-noisette Et Les Quatre Royaumes,VF,2D,38.0,,55.0,"40,86%",27/11/2018,20:30
SALLE 5,Lola Et Ses Frères,FR,2D,32.0,,82.0,"28,07%",27/11/2018,20:30
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,60.0,,228.0,"20,83%",27/11/2018,20:30
SALLE 1,Les Chatouilles,FR,2D,3.0,,90.0,"3,23%",28/11/2018,14:00
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,25.0,,119.0,"17,36%",28/11/2018,14:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,9.0,1.0,182.0,"5,21%",28/11/2018,14:00
SALLE 4,Robin Des Bois,VF,2D,1.0,,92.0,"1,08%",28/11/2018,14:00
SALLE 5,Lola Et Ses Frères,FR,2D,7.0,,107.0,"6,14%",28/11/2018,14:00
SALLE 6,Le Grinch,VF,2D,57.0,,231.0,"19,79%",28/11/2018,14:00
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,19.0,,125.0,"13,19%",28/11/2018,16:00
SALLE 6,Le Grinch,VF,2D,23.0,,265.0,"7,99%",28/11/2018,16:00
SALLE 1,Carmen Et Lola,VO,2D,3.0,,90.0,"3,23%",28/11/2018,16:10
SALLE 4,Le Grand Bain,FR,2D,4.0,,89.0,"4,30%",28/11/2018,16:10
SALLE 5,Un Homme Pressé,FR,2D,8.0,,106.0,"7,02%",28/11/2018,16:10
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,3.0,,189.0,"1,56%",28/11/2018,16:30
SALLE 6,A Star Is Born,VF,2D,16.0,,272.0,"5,56%",28/11/2018,18:00
SALLE 1,Un Amour Impossible,FR,2D,1.0,,92.0,"1,08%",28/11/2018,18:10
SALLE 2,Robin Des Bois,VF,2D,5.0,,139.0,"3,47%",28/11/2018,18:30
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,6.0,,186.0,"3,13%",28/11/2018,18:30
SALLE 4,Lola Et Ses Frères,FR,2D,11.0,,82.0,"11,83%",28/11/2018,18:30
SALLE 5,Le Grinch,VF,2D,11.0,,103.0,"9,65%",28/11/2018,18:30
SALLE 1,Les Chatouilles,FR,2D,10.0,,83.0,"10,75%",28/11/2018,21:00
SALLE 2,Robin Des Bois,VF,2D,2.0,,142.0,"1,39%",28/11/2018,21:00
SALLE 3,Bohemian Rhapsody,VF,2D,26.0,,166.0,"13,54%",28/11/2018,21:00
SALLE 4,Lola Et Ses Frères,FR,2D,5.0,,88.0,"5,38%",28/11/2018,21:00
SALLE 5,Le Grinch,VF,2D,,,114.0,,28/11/2018,21:00
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,16.0,,272.0,"5,56%",28/11/2018,21:00
SALLE 5,Phantom Boy,FR,2D,,,114.0,,29/11/2018,11:00
SALLE 6,La Tête Haute,FR,2D,,,288.0,,29/11/2018,11:00
SALLE 3,L'île De Black Mór,FR,2D,,,192.0,,29/11/2018,11:05
SALLE 6,La Tête Haute,FR,2D,147.0,,141.0,"51,04%",29/11/2018,12:30
SALLE 3,L'île De Black Mór,FR,2D,148.0,10.0,34.0,"82,29%",29/11/2018,12:35
SALLE 5,Phantom Boy,FR,2D,88.0,,26.0,"77,19%",29/11/2018,12:35
SALLE 1,Kursk,VO,2D,,1.0,92.0,"1,08%",29/11/2018,14:00
SALLE 2,Le Grand Bain,FR,2D,2.0,,142.0,"1,39%",29/11/2018,14:00
SALLE 3,Un Homme Pressé,FR,2D,3.0,,189.0,"1,56%",29/11/2018,14:00
SALLE 4,Bohemian Rhapsody,VF,2D,6.0,,87.0,"6,45%",29/11/2018,14:00
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,,,114.0,,29/11/2018,14:00
SALLE 6,Lola Et Ses Frères,FR,2D,6.0,,282.0,"2,08%",29/11/2018,14:00
SALLE 3,Bohemian Rhapsody,VO,2D,3.0,,189.0,"1,56%",29/11/2018,16:00
SALLE 5,Un Amour Impossible,FR,2D,13.0,,101.0,"11,40%",29/11/2018,16:00
SALLE 6,Les Chatouilles,FR,2D,3.0,2.0,283.0,"1,74%",29/11/2018,16:00
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,4.0,,140.0,"2,78%",29/11/2018,16:10
SALLE 1,Robin Des Bois,VF,2D,,,93.0,,29/11/2018,16:20
SALLE 4,Le Grinch,VF,2D,2.0,,91.0,"2,15%",29/11/2018,16:30
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,5.0,,283.0,"1,74%",29/11/2018,18:00
SALLE 2,First Man - Le Premier Homme Sur La Lune,VF,2D,,,144.0,,29/11/2018,18:10
SALLE 4,Robin Des Bois,VF,2D,4.0,,89.0,"4,30%",29/11/2018,18:20
SALLE 1,Lola Et Ses Frères,FR,2D,3.0,,90.0,"3,23%",29/11/2018,18:30
SALLE 3,Le Grinch,VF,2D,6.0,,186.0,"3,13%",29/11/2018,18:30
SALLE 5,Les Chatouilles,FR,2D,3.0,,111.0,"2,63%",29/11/2018,18:30
SALLE 1,Carmen Et Lola,VO,2D,,,93.0,,29/11/2018,21:00
SALLE 2,A Star Is Born,VF,2D,25.0,,119.0,"17,36%",29/11/2018,21:00
SALLE 3,Robin Des Bois,VF,2D,,,192.0,,29/11/2018,21:00
SALLE 4,Lola Et Ses Frères,FR,2D,6.0,2.0,85.0,"8,60%",29/11/2018,21:00
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,4.0,,110.0,"3,51%",29/11/2018,21:00
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,18.0,,270.0,"6,25%",29/11/2018,21:00
SALLE 3,La Tête Haute,FR,2D,47.0,3.0,142.0,"26,04%",30/11/2018,09:20
SALLE 6,La Tête Haute,FR,2D,134.0,7.0,147.0,"48,96%",30/11/2018,09:25
SALLE 1,Les Chatouilles,FR,2D,1.0,,92.0,"1,08%",30/11/2018,14:00
SALLE 2,Lola Et Ses Frères,FR,2D,10.0,,134.0,"6,94%",30/11/2018,14:00
SALLE 3,Un Homme Pressé,FR,2D,4.0,,188.0,"2,08%",30/11/2018,14:00
SALLE 4,A Star Is Born,VF,2D,6.0,,87.0,"6,45%",30/11/2018,14:00
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,,,114.0,,30/11/2018,14:00
SALLE 6,Le Grand Bain,FR,2D,9.0,,279.0,"3,13%",30/11/2018,14:00
SALLE 1,Kursk,VO,2D,3.0,,90.0,"3,23%",30/11/2018,16:00
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,1.0,,143.0,"0,69%",30/11/2018,16:00
SALLE 3,Les Chatouilles,FR,2D,17.0,,175.0,"8,85%",30/11/2018,16:00
SALLE 5,Robin Des Bois,VF,2D,,,114.0,,30/11/2018,16:00
SALLE 6,Le Grinch,VF,2D,,,288.0,,30/11/2018,16:20
SALLE 4,Un Amour Impossible,FR,2D,1.0,,92.0,"1,08%",30/11/2018,17:30
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,18.0,,126.0,"12,50%",30/11/2018,18:00
SALLE 3,Lola Et Ses Frères,FR,2D,4.0,,188.0,"2,08%",30/11/2018,18:00
SALLE 6,Le Grinch,VF,2D,20.0,,268.0,"6,94%",30/11/2018,18:10
SALLE 1,Carmen Et Lola,VO,2D,,,93.0,,30/11/2018,18:20
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,11.0,,103.0,"9,65%",30/11/2018,18:20
SALLE 4,Lola Et Ses Frères,FR,2D,25.0,,68.0,"26,88%",30/11/2018,20:30
SALLE 6,Le Grinch,VF,2D,49.0,,239.0,"17,01%",30/11/2018,20:30
SALLE 1,First Man - Le Premier Homme Sur La Lune,VF,2D,,,93.0,,30/11/2018,21:00
SALLE 2,Bohemian Rhapsody,VF,2D,33.0,,111.0,"22,92%",30/11/2018,21:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,53.0,,139.0,"27,60%",30/11/2018,21:00
SALLE 5,Robin Des Bois,VF,2D,13.0,,101.0,"11,40%",30/11/2018,21:00
SALLE 4,Robin Des Bois,VF,2D,4.0,,89.0,"4,30%",30/11/2018,22:30
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,3.0,,285.0,"1,04%",30/11/2018,22:30
SALLE 1,Les Chatouilles,FR,2D,4.0,,89.0,"4,30%",01/12/2018,13:30
SALLE 2,Un Homme Pressé,FR,2D,2.0,,142.0,"1,39%",01/12/2018,13:30
SALLE 3,Lola Et Ses Frères,FR,2D,4.0,,188.0,"2,08%",01/12/2018,13:30
SALLE 4,Carmen Et Lola,VO,2D,2.0,,91.0,"2,15%",01/12/2018,13:30
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,25.0,,89.0,"21,93%",01/12/2018,13:30
SALLE 6,Le Grinch,VF,2D,28.0,,260.0,"9,72%",01/12/2018,13:30
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,42.0,,246.0,"14,58%",01/12/2018,15:30
SALLE 1,Un Amour Impossible,FR,2D,7.0,,86.0,"7,53%",01/12/2018,15:40
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,40.0,,104.0,"27,78%",01/12/2018,15:40
SALLE 4,Lola Et Ses Frères,FR,2D,21.0,,72.0,"22,58%",01/12/2018,15:40
SALLE 5,Robin Des Bois,VF,2D,13.0,,101.0,"11,40%",01/12/2018,15:40
SALLE 3,Le Grinch,VF,2D,61.0,,131.0,"31,77%",01/12/2018,15:50
SALLE 2,Bohemian Rhapsody,VF,2D,117.0,,27.0,"81,25%",01/12/2018,18:00
SALLE 3,Les Animaux Fantastiques,VF,2D,24.0,,168.0,"12,50%",01/12/2018,18:00
SALLE 4,Le Grand Bain,FR,2D,34.0,,59.0,"36,56%",01/12/2018,18:00
SALLE 5,Un Homme Pressé,FR,2D,28.0,,86.0,"24,56%",01/12/2018,18:10
SALLE 1,Kursk,VO,2D,2.0,,91.0,"2,15%",01/12/2018,18:20
SALLE 6,Le Grinch,VF,2D,65.0,,223.0,"22,57%",01/12/2018,18:20
SALLE 4,Lola Et Ses Frères,FR,2D,51.0,,42.0,"54,84%",01/12/2018,20:30
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,24.0,,90.0,"21,05%",01/12/2018,20:30
SALLE 6,Le Grinch,VF,2D,54.0,,234.0,"18,75%",01/12/2018,20:30
SALLE 1,Les Chatouilles,FR,2D,17.0,1.0,75.0,"19,35%",01/12/2018,21:00
SALLE 2,Robin Des Bois,VF,2D,21.0,,123.0,"14,58%",01/12/2018,21:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,57.0,,135.0,"29,69%",01/12/2018,21:00
SALLE 4,Robin Des Bois,VF,2D,5.0,,88.0,"5,38%",01/12/2018,22:30
SALLE 5,Bohemian Rhapsody,VF,2D,16.0,,98.0,"14,04%",01/12/2018,22:30
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,9.0,,279.0,"3,13%",01/12/2018,22:30
SALLE 1,Un Amour Impossible,FR,2D,4.0,,89.0,"4,30%",02/12/2018,10:50
SALLE 5,Bohemian Rhapsody,VF,2D,10.0,,104.0,"8,77%",02/12/2018,10:50
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,11.0,,133.0,"7,64%",02/12/2018,11:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,42.0,4.0,146.0,"23,96%",02/12/2018,11:00
SALLE 4,Lola Et Ses Frères,FR,2D,4.0,,89.0,"4,30%",02/12/2018,11:00
SALLE 6,Le Grinch,VF,2D,25.0,,263.0,"8,68%",02/12/2018,11:00
SALLE 1,Robin Des Bois,VF,2D,11.0,,82.0,"11,83%",02/12/2018,13:30
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,11.0,,133.0,"7,64%",02/12/2018,13:30
SALLE 3,Un Homme Pressé,FR,2D,26.0,,166.0,"13,54%",02/12/2018,13:30
SALLE 4,Carmen Et Lola,VO,2D,8.0,,85.0,"8,60%",02/12/2018,13:30
SALLE 5,Bohemian Rhapsody,VF,2D,66.0,2.0,46.0,"59,65%",02/12/2018,13:30
SALLE 6,Le Grinch,VF,2D,52.0,,236.0,"18,06%",02/12/2018,13:40
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,82.0,,110.0,"42,71%",02/12/2018,15:40
SALLE 4,Le Grand Bain,FR,2D,75.0,,18.0,"80,65%",02/12/2018,15:50
SALLE 2,Lola Et Ses Frères,FR,2D,103.0,,41.0,"71,53%",02/12/2018,16:00
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,48.0,,66.0,"42,11%",02/12/2018,16:00
SALLE 6,Le Grinch,VF,2D,155.0,,133.0,"53,82%",02/12/2018,16:00
SALLE 1,Les Chatouilles,FR,2D,51.0,3.0,39.0,"58,06%",02/12/2018,16:10
SALLE 5,First Man - Le Premier Homme Sur La Lune,VF,2D,14.0,,100.0,"12,28%",02/12/2018,18:10
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,39.0,,249.0,"13,54%",02/12/2018,18:10
SALLE 1,Robin Des Bois,VF,2D,9.0,,84.0,"9,68%",02/12/2018,18:20
SALLE 2,A Star Is Born,VF,2D,75.0,1.0,68.0,"52,78%",02/12/2018,18:20
SALLE 4,Le Grand Bain,FR,2D,21.0,,72.0,"22,58%",02/12/2018,18:20
SALLE 3,Le Grinch,VF,2D,17.0,,175.0,"8,85%",02/12/2018,18:30
SALLE 1,Les Chatouilles,FR,2D,8.0,,85.0,"8,60%",02/12/2018,21:00
SALLE 2,Bohemian Rhapsody,VO,2D,14.0,,130.0,"9,72%",02/12/2018,21:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,3.0,,189.0,"1,56%",02/12/2018,21:00
SALLE 4,Kursk,VO,2D,1.0,,92.0,"1,08%",02/12/2018,21:00
SALLE 5,Lola Et Ses Frères,FR,2D,,,114.0,,02/12/2018,21:00
SALLE 6,Robin Des Bois,VF,2D,10.0,2.0,276.0,"4,17%",02/12/2018,21:00
SALLE 1,Casse-noisette Et Les Quatre Royaumes,VF,2D,,,93.0,,03/12/2018,16:00
SALLE 2,Les Chatouilles,FR,2D,18.0,,126.0,"12,50%",03/12/2018,16:00
SALLE 3,Lola Et Ses Frères,FR,2D,9.0,,183.0,"4,69%",03/12/2018,16:00
SALLE 4,Bohemian Rhapsody,VF,2D,18.0,,75.0,"19,35%",03/12/2018,16:00
SALLE 5,Robin Des Bois,VF,2D,,,114.0,,03/12/2018,16:00
SALLE 6,Le Grinch,VF,2D,,,288.0,,03/12/2018,16:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,8.0,,184.0,"4,17%",03/12/2018,18:00
SALLE 6,Bohemian Rhapsody,VO,2D,11.0,,277.0,"3,82%",03/12/2018,18:00
SALLE 1,Lola Et Ses Frères,FR,2D,,,93.0,,03/12/2018,18:10
SALLE 2,Le Grinch,VF,2D,,,144.0,,03/12/2018,18:20
SALLE 5,Carmen Et Lola,VO,2D,6.0,,108.0,"5,26%",03/12/2018,18:20
SALLE 4,Casse-noisette Et Les Quatre Royaumes,VF,2D,,,93.0,,03/12/2018,18:30
SALLE 1,First Man - Le Premier Homme Sur La Lune,VF,2D,6.0,,87.0,"6,45%",03/12/2018,21:00
SALLE 2,Robin Des Bois,VF,2D,,,144.0,,03/12/2018,21:00
SALLE 3,Le Grand Bain,FR,2D,6.0,,186.0,"3,13%",03/12/2018,21:00
SALLE 4,Un Amour Impossible,FR,2D,13.0,,80.0,"13,98%",03/12/2018,21:00
SALLE 5,Un Homme Pressé,FR,2D,18.0,,96.0,"15,79%",03/12/2018,21:00
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,7.0,,281.0,"2,43%",03/12/2018,21:00
SALLE 3,"Soyez Sympas, Rembobinez",VO,2D,89.0,8.0,95.0,"50,52%",04/12/2018,10:30
SALLE 5,Phantom Boy,FR,2D,,,114.0,,04/12/2018,10:30
SALLE 1,Un Amour Impossible,FR,2D,7.0,,86.0,"7,53%",04/12/2018,14:00
SALLE 2,Un Homme Pressé,FR,2D,3.0,,141.0,"2,08%",04/12/2018,14:00
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,1.0,,191.0,"0,52%",04/12/2018,14:00
SALLE 4,Carmen Et Lola,VO,2D,1.0,,92.0,"1,08%",04/12/2018,14:00
SALLE 5,Lola Et Ses Frères,FR,2D,5.0,,109.0,"4,39%",04/12/2018,14:00
SALLE 6,Robin Des Bois,VF,2D,8.0,,280.0,"2,78%",04/12/2018,14:00
SALLE 2,First Man - Le Premier Homme Sur La Lune,VF,2D,2.0,,142.0,"1,39%",04/12/2018,15:50
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,,,192.0,,04/12/2018,16:00
SALLE 4,Le Grand Bain,FR,2D,15.0,,78.0,"16,13%",04/12/2018,16:00
SALLE 5,Lola Et Ses Frères,FR,2D,1.0,,113.0,"0,88%",04/12/2018,16:10
SALLE 6,Robin Des Bois,VF,2D,,,288.0,,04/12/2018,16:10
SALLE 1,Les Chatouilles,FR,2D,10.0,,83.0,"10,75%",04/12/2018,16:30
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,6.0,,186.0,"3,13%",04/12/2018,18:00
SALLE 4,Casse-noisette Et Les Quatre Royaumes,VF,2D,13.0,,80.0,"13,98%",04/12/2018,18:20
SALLE 5,Lola Et Ses Frères,FR,2D,2.0,,112.0,"1,75%",04/12/2018,18:20
SALLE 1,Les Chatouilles,FR,2D,5.0,,88.0,"5,38%",04/12/2018,18:30
SALLE 2,Un Homme Pressé,FR,2D,6.0,,138.0,"4,17%",04/12/2018,18:30
SALLE 6,Le Grinch,VF,2D,3.0,,285.0,"1,04%",04/12/2018,18:30
SALLE 1,Robin Des Bois,VF,2D,8.0,,85.0,"8,60%",04/12/2018,21:00
SALLE 2,Bohemian Rhapsody,VF,2D,35.0,,109.0,"24,31%",04/12/2018,21:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,20.0,,172.0,"10,42%",04/12/2018,21:00
SALLE 4,Le Grinch,VF,2D,5.0,,88.0,"5,38%",04/12/2018,21:00
SALLE 5,Pupille,FR,2D,10.0,,104.0,"8,77%",04/12/2018,21:00
SALLE 6,A Star Is Born,VF,2D,45.0,,243.0,"15,63%",04/12/2018,21:00
SALLE 1,Casse-noisette Et Les Quatre Royaumes,VF,2D,4.0,,89.0,"4,30%",05/12/2018,14:00
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,13.0,,131.0,"9,03%",05/12/2018,14:00
SALLE 3,Le Grinch,VF,2D,60.0,,132.0,"31,25%",05/12/2018,14:00
SALLE 4,Lola Et Ses Frères,FR,2D,2.0,,91.0,"2,15%",05/12/2018,14:00
SALLE 5,Pupille,FR,2D,20.0,1.0,93.0,"18,42%",05/12/2018,14:00
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,57.0,,231.0,"19,79%",05/12/2018,14:00
SALLE 1,Robin Des Bois,VF,2D,4.0,,89.0,"4,30%",05/12/2018,16:00
SALLE 3,Le Grinch,VF,2D,24.0,,168.0,"12,50%",05/12/2018,16:00
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,23.0,,265.0,"7,99%",05/12/2018,16:00
SALLE 4,Lola Et Ses Frères,FR,2D,6.0,,87.0,"6,45%",05/12/2018,16:10
SALLE 5,Les Chatouilles,FR,2D,5.0,,109.0,"4,39%",05/12/2018,16:10
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,4.0,,140.0,"2,78%",05/12/2018,16:30
SALLE 3,Heureux Comme Lazzaro,VO,2D,2.0,,190.0,"1,04%",05/12/2018,18:00
SALLE 6,Le Grinch,VF,2D,7.0,,281.0,"2,43%",05/12/2018,18:10
SALLE 1,Pupille,FR,2D,10.0,,83.0,"10,75%",05/12/2018,18:20
SALLE 5,Overlord,VF,2D,4.0,,110.0,"3,51%",05/12/2018,18:20
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,6.0,,138.0,"4,17%",05/12/2018,18:30
SALLE 4,Lola Et Ses Frères,FR,2D,3.0,,90.0,"3,23%",05/12/2018,18:30
SALLE 1,Les Filles Du Soleil,FR,2D,2.0,,91.0,"2,15%",05/12/2018,21:00
SALLE 2,Bohemian Rhapsody,VF,2D,15.0,,129.0,"10,42%",05/12/2018,21:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,6.0,1.0,185.0,"3,65%",05/12/2018,21:00
SALLE 4,Pupille,FR,2D,9.0,,84.0,"9,68%",05/12/2018,21:00
SALLE 5,Robin Des Bois,VF,2D,4.0,,110.0,"3,51%",05/12/2018,21:00
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,12.0,,276.0,"4,17%",05/12/2018,21:00
SALLE 2,Le Chant De La Mer,FR,2D,,,144.0,,06/12/2018,10:10
SALLE 3,Le Collier Rouge,FR,2D,,,192.0,,06/12/2018,10:10
SALLE 4,Au Revoir Là-haut,FR,2D,,,93.0,,06/12/2018,10:10
SALLE 5,Le Chant De La Mer,FR,2D,,,114.0,,06/12/2018,10:10
SALLE 6,Le Chant De La Mer,FR,2D,,,288.0,,06/12/2018,10:10
SALLE 1,Pupille,FR,2D,8.0,,85.0,"8,60%",06/12/2018,14:00
SALLE 2,Un Homme Pressé,FR,2D,6.0,,138.0,"4,17%",06/12/2018,14:00
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,2.0,,190.0,"1,04%",06/12/2018,14:00
SALLE 4,Le Grinch,VF,2D,,,93.0,,06/12/2018,14:00
SALLE 5,Lola Et Ses Frères,FR,2D,2.0,,112.0,"1,75%",06/12/2018,14:00
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,2.0,,286.0,"0,69%",06/12/2018,14:00
SALLE 4,Robin Des Bois,VF,2D,4.0,,89.0,"4,30%",06/12/2018,15:50
SALLE 1,Les Filles Du Soleil,FR,2D,,,93.0,,06/12/2018,16:00
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,,,114.0,,06/12/2018,16:00
SALLE 2,Les Chatouilles,FR,2D,12.0,,132.0,"8,33%",06/12/2018,16:10
SALLE 3,Le Grinch,VF,2D,1.0,,191.0,"0,52%",06/12/2018,16:10
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,4.0,2.0,282.0,"2,08%",06/12/2018,16:10
SALLE 3,Bohemian Rhapsody,VO,2D,2.0,,190.0,"1,04%",06/12/2018,18:00
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,10.0,,278.0,"3,47%",06/12/2018,18:00
SALLE 5,Overlord,VF,2D,2.0,,112.0,"1,75%",06/12/2018,18:05
SALLE 1,Pupille,FR,2D,12.0,2.0,79.0,"15,05%",06/12/2018,18:20
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,3.0,,141.0,"2,08%",06/12/2018,18:20
SALLE 4,Le Grinch,VF,2D,2.0,,91.0,"2,15%",06/12/2018,18:20
SALLE 1,Pupille,FR,2D,11.0,,82.0,"11,83%",06/12/2018,21:00
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,5.0,,139.0,"3,47%",06/12/2018,21:00
SALLE 3,Heureux Comme Lazzaro,VO,2D,,,192.0,,06/12/2018,21:00
SALLE 4,Robin Des Bois,VF,2D,10.0,,83.0,"10,75%",06/12/2018,21:00
SALLE 5,Lola Et Ses Frères,FR,2D,10.0,,104.0,"8,77%",06/12/2018,21:00
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,8.0,,280.0,"2,78%",06/12/2018,21:00
SALLE 1,"Soyez Sympas, Rembobinez",VO,2D,48.0,5.0,40.0,"56,99%",07/12/2018,10:10
SALLE 2,Le Chant De La Mer,FR,2D,68.0,,76.0,"47,22%",07/12/2018,10:10
SALLE 3,Le Collier Rouge,FR,2D,109.0,7.0,76.0,"60,42%",07/12/2018,10:10
SALLE 1,Pupille,FR,2D,20.0,,73.0,"21,51%",07/12/2018,14:00
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,11.0,,133.0,"7,64%",07/12/2018,14:00
SALLE 3,Un Homme Pressé,FR,2D,14.0,,178.0,"7,29%",07/12/2018,14:00
SALLE 4,Lola Et Ses Frères,FR,2D,7.0,,86.0,"7,53%",07/12/2018,14:00
SALLE 5,Casse-noisette Et Les Quatre Royaumes,VF,2D,1.0,,113.0,"0,88%",07/12/2018,14:00
SALLE 6,Le Grinch,VF,2D,2.0,,286.0,"0,69%",07/12/2018,14:00
SALLE 1,Les Filles Du Soleil,FR,2D,2.0,,91.0,"2,15%",07/12/2018,16:00
SALLE 3,Heureux Comme Lazzaro,VO,2D,6.0,,186.0,"3,13%",07/12/2018,16:00
SALLE 4,Bohemian Rhapsody,VF,2D,11.0,1.0,81.0,"12,90%",07/12/2018,16:00
SALLE 5,Lola Et Ses Frères,FR,2D,14.0,,100.0,"12,28%",07/12/2018,16:00
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,6.0,1.0,281.0,"2,43%",07/12/2018,16:10
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,3.0,,141.0,"2,08%",07/12/2018,16:30
SALLE 1,Robin Des Bois,VF,2D,1.0,,92.0,"1,08%",07/12/2018,18:00
SALLE 5,Pupille,FR,2D,12.0,,102.0,"10,53%",07/12/2018,18:10
SALLE 3,Lola Et Ses Frères,FR,2D,4.0,,188.0,"2,08%",07/12/2018,18:20
SALLE 2,Les Chatouilles,FR,2D,13.0,,131.0,"9,03%",07/12/2018,18:30
SALLE 4,Le Grinch,VF,2D,16.0,,77.0,"17,20%",07/12/2018,18:30
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,23.0,1.0,264.0,"8,33%",07/12/2018,18:30
SALLE 1,L'île De Black Mór,FR,2D,15.0,,78.0,"16,13%",07/12/2018,20:10
SALLE 5,Pupille,FR,2D,29.0,1.0,84.0,"26,32%",07/12/2018,20:20
SALLE 3,Le Grinch,VF,2D,35.0,,157.0,"18,23%",07/12/2018,20:40
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,56.0,,232.0,"19,44%",07/12/2018,20:40
SALLE 1,Robin Des Bois,VF,2D,11.0,,82.0,"11,83%",07/12/2018,21:00
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,22.0,,122.0,"15,28%",07/12/2018,21:00
SALLE 4,Le Grand Bain,FR,2D,16.0,,77.0,"17,20%",07/12/2018,21:00
SALLE 3,Robin Des Bois,VF,2D,4.0,,188.0,"2,08%",07/12/2018,22:30
SALLE 5,Overlord,VF,2D,20.0,,94.0,"17,54%",07/12/2018,22:30
