#### EXPORT DONNEES METEO POUR "SAINT-CHAMOND" (LAT/LON: 45.47365/4.52541)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2017-01-01,5,-1,8,-2,5,-1,0,87,10,1028,0.625,7,1,-4,113,113,113,0,1,8.7,météo très défavorable
2017-01-02,1,-3,7,-3,1,-3,0,80,10,1026,44.625,2,0,-6,122,113,116,0,1,6.9,météo très défavorable
2017-01-03,-1,-4,14,-2,-1,-4,0.1,81,9.375,1029,45.625,0,0,-7,122,113,113,0.1,1,8.7,météo très défavorable
2017-01-04,1,-2,9,-5,1,-1,0,88,10,1029,42.25,2,0,-4,113,113,122,0,1,6.9,météo très défavorable
2017-01-05,-0,-2,24,-1,0,-2,1.4,91,6.625,1033,89.25,0,0,-8,122,119,122,1.1,1,3.3,météo très défavorable
2017-01-06,-3,-6,15,-6,-3,-6,0,68,10,1035,10.875,0,0,-10,113,113,113,0,1,8.7,météo très défavorable
2017-01-07,-1,-5,10,-7,-2,-4,0,35,10,1035,15,0,0,-8,113,113,116,0,1,8.7,météo très défavorable
2017-01-08,1,-1,22,-2,0,-1,0.2,96,9.375,1033,98.25,1,0,-5,122,122,122,0.2,1,3.4,météo très défavorable
2017-01-09,1,-2,13,-2,1,-2,0.2,93,9.375,1031,91.125,1,0,-5,119,119,122,0.2,1,3.4,météo très défavorable
2017-01-10,2,1,18,0,2,1,4.2,99,7.375,1020,100,2,2,-3,122,122,248,1,1,3.4,météo très défavorable
2017-01-11,2,1,11,-1,2,2,1.3,93,7.75,1022,95.375,3,1,-1,260,122,122,1.1,1,3.4,météo très défavorable
2017-01-12,6,3,18,1,6,5,0,94,7,1022,89.25,6,4,1,143,122,122,0,1,3.4,météo très défavorable
2017-01-13,4,-2,32,-2,2,-2,1.8,90,8,1017,68.625,4,3,-7,122,200,116,0.7,1,5.2,météo très défavorable
2017-01-14,-1,-3,31,-1,-1,-3,2.7,93,8,1023,73.125,0,0,-8,122,116,122,2.2,1,6.9,météo très défavorable
2017-01-15,-0,-5,17,-3,-0,-5,1.2,96,5.125,1025,94.25,0,0,-8,122,122,143,1,1,3.4,météo très défavorable
2017-01-16,-1,-6,28,-3,-1,-6,0.1,91,5.5,1024,75.25,0,0,-13,143,122,113,0,1,5.2,météo très défavorable
2017-01-17,-4,-6,38,-7,-4,-5,0.7,84,5.875,1026,97.625,0,0,-15,122,122,122,0.2,1,3.4,météo très défavorable
2017-01-18,-4,-8,12,-7,-4,-8,0.1,90,9.375,1029,75.875,0,0,-12,119,119,119,0.1,1,5.2,météo très défavorable
2017-01-19,-3,-8,6,-10,-3,-8,0,88,6.75,1031,29,0,0,-9,143,113,113,0,1,8.7,météo très défavorable
2017-01-20,-1,-7,6,-10,-1,-7,0,83,10,1031,4.875,0,0,-8,113,113,113,0,1,8.7,météo très défavorable
2017-01-21,1,-6,6,-7,1,-6,0,80,10,1029,7.25,1,0,-5,113,113,113,0,1,8.7,météo très défavorable
2017-01-22,0,-3,4,-8,0,-3,0,75,10,1026,57.125,1,0,-3,113,122,122,0,1,7,météo très défavorable
2017-01-23,-2,-7,7,-7,-2,-7,0,75,10,1024,51,0,0,-11,122,116,113,0,1,7,météo très défavorable
2017-01-24,-4,-7,13,-10,-4,-7,0.1,89,9.375,1027,25.625,0,0,-11,113,113,119,0.1,1,8.7,météo très défavorable
2017-01-25,-3,-7,10,-6,-3,-7,0.5,89,8.125,1026,58.875,0,0,-10,122,116,113,0.4,1,7,météo très défavorable
2017-01-26,-1,-5,9,-8,-1,-4,0.4,79,9,1025,26.125,0,0,-7,113,113,116,0,1,8.7,météo très défavorable
2017-01-27,7,4,27,3,7,4,0.1,92,10,1019,77.125,7,3,-1,122,119,119,0,1,3.5,météo très défavorable
2017-01-28,5,2,7,1,5,2,2.3,94,8.875,1023,100,5,3,1,122,122,122,0,1,3.5,météo très défavorable
2017-01-29,6,2,10,0,6,2,0.1,92,9,1025,65.75,7,4,-1,116,116,122,0,1,8.7,météo très défavorable
2017-01-30,7,3,14,2,7,5,1.2,95,8.875,1023,86.125,7,5,0,116,122,143,0,1,3.5,météo très défavorable
2017-01-31,10,6,14,5,10,6,0,95,9,1019,74.25,10,7,4,122,122,116,0,1,5.3,météo défavorable
2017-02-01,11,6,13,4,11,6,0,95,5.75,1018,50,11,8,4,143,113,143,0,1,8.7,météo défavorable
2017-02-02,11,8,42,6,11,9,0.4,81,9.375,1017,44.25,11,6,4,113,116,122,0,1,8.7,météo défavorable
2017-02-03,8,3,24,3,7,3,6.7,89,9.625,1013,63,8,7,1,113,122,116,0,1,3.6,météo très défavorable
2017-02-04,9,3,32,4,9,3,1.3,87,9.875,1011,40.25,9,3,0,122,116,113,0,1,8.7,météo très défavorable
2017-02-05,7,3,16,5,7,3,2.8,93,9.75,1008,80,7,4,-0,122,122,116,0,1,3.7,météo très défavorable
2017-02-06,4,2,34,2,4,2,0,95,8,1020,80.375,4,2,-3,116,122,143,0,1,5.4,météo très défavorable
2017-02-07,6,3,7,2,6,3,0.6,98,5.5,1020,88,7,5,1,122,122,248,0,1,3.8,météo très défavorable
2017-02-08,4,2,28,2,4,2,0.1,90,7.75,1022,98.5,4,2,-2,122,122,122,0,1,3.8,météo très défavorable
2017-02-09,2,0,13,1,2,-0,2.7,97,4.625,1022,96.25,2,1,-3,122,122,143,2.1,1,5.2,météo très défavorable
2017-02-10,6,1,17,-1,6,1,0,93,5.5,1019,59.375,6,1,-2,143,119,113,0,1,8.4,météo très défavorable
2017-02-11,7,4,17,1,7,4,0,95,4.75,1020,87,7,4,2,248,119,143,0,1,6.8,météo très défavorable
2017-02-12,11,6,25,4,11,6,0,90,9,1020,77.875,11,4,3,122,116,119,0,1,8.4,météo défavorable
2017-02-13,11,5,19,2,11,6,0,85,7,1021,57.5,11,5,3,143,116,122,0,1,10,météo très défavorable
2017-02-14,11,6,19,3,11,7,0.6,91,6.75,1031,69.75,11,5,4,248,116,116,0,1,10,météo défavorable
2017-02-15,13,7,13,3,13,7,0.1,88,10,1035,57,13,6,5,116,119,119,0,1,8.5,météo correcte
2017-02-16,11,6,5,2,11,6,0,90,10,1035,52.625,12,6,6,116,119,122,0,1,6.9,météo défavorable
2017-02-17,10,6,13,2,10,6,0.1,94,7,1031,83.375,10,6,4,143,122,143,0,1,5.4,météo défavorable
2017-02-18,8,1,9,-1,8,1,0,90,7,1027,16.625,9,3,2,143,113,113,0,1,10.7,météo très défavorable
2017-02-19,11,3,10,0,11,3,0,90,10,1026,5.375,11,4,2,113,113,113,0,1,10.8,météo très défavorable
2017-02-20,10,4,10,-0,9,4,0,91,9,1027,34.375,10,4,3,113,116,116,0,1,10.1,météo très défavorable
2017-02-21,11,6,10,5,11,7,0,97,6.5,1026,94.5,11,8,6,122,122,248,0,1,5.4,météo défavorable
2017-02-22,13,6,5,4,12,6,0,89,6.5,1023,43.75,13,6,6,143,113,116,0,1,10.9,météo correcte
2017-02-23,16,10,19,5,16,10,0,81,10,1019,37.5,16,7,8,116,122,113,0,1,8.5,météo correcte
2017-02-24,7,3,25,4,6,3,0.1,82,10,1020,73.125,7,4,-1,119,122,122,0,1,5.5,météo très défavorable
2017-02-25,6,0,12,-2,6,0,0,83,9,1022,22.375,6,0,-0,143,113,113,0,1,11,météo très défavorable
2017-02-26,12,4,5,1,12,4,0,82,10,1021,15.625,13,2,4,113,113,113,0,1,11,météo très défavorable
2017-02-27,11,8,38,3,11,8,0,85,10,1016,15.375,11,5,4,113,113,113,0,1,11,météo défavorable
2017-02-28,8,3,37,5,8,3,2.9,78,9.625,1012,52,8,6,-1,116,200,116,0,1,10.1,météo très défavorable
2017-03-01,7,6,18,1,6,6,0,87,10,1017,60.625,7,4,2,116,122,122,0,1,7.1,météo très défavorable
2017-03-02,8,4,8,6,7,4,0.9,92,9.875,1020,75.625,9,6,3,122,122,116,0,1,7.1,météo très défavorable
2017-03-03,12,9,56,4,12,9,0,74,10,1017,32.5,12,6,4,116,113,113,0,1,10.1,météo défavorable
2017-03-04,9,4,44,6,7,4,8,91,9.375,1007,68.625,9,4,1,119,122,200,0,1,5.6,météo très défavorable
2017-03-05,7,4,26,1,4,5,0.2,89,8.875,1013,77.375,7,3,-0,116,122,119,0,1,7.1,météo très défavorable
2017-03-06,11,4,48,4,11,4,3,84,7.875,1017,75.5,11,6,-2,122,113,122,0,1,10.1,météo très défavorable
2017-03-07,6,3,29,2,6,3,0,86,10,1025,78,6,1,-1,119,119,122,0,1,5.6,météo très défavorable
2017-03-08,9,4,6,0,9,5,0,92,10,1026,72.75,10,6,3,116,122,119,0,1,5.7,météo très défavorable
2017-03-09,13,7,16,3,13,7,0,92,7,1027,55.875,13,7,5,143,116,113,0,1,10.1,météo correcte
2017-03-10,12,6,15,6,12,6,0.1,88,6.75,1026,43.625,12,6,6,248,113,113,0,1,11.4,météo défavorable
2017-03-11,15,7,8,1,14,7,0,83,10,1023,18.375,15,6,7,113,113,113,0,1,10.1,météo correcte
2017-03-12,12,9,8,7,12,9,2.4,95,8.875,1016,71.625,12,9,8,122,200,143,0,1,7.2,météo défavorable
2017-03-13,12,8,21,7,12,9,2.2,95,7,1028,79.375,12,9,6,143,116,143,0,1,5.9,météo défavorable
2017-03-14,12,8,21,4,12,8,0,93,6,1032,53.875,13,7,6,143,116,119,0,1,10.2,météo défavorable
2017-03-15,12,7,14,3,12,7,0,90,9,1032,20.125,12,7,7,113,113,113,0,1,11.6,météo défavorable
2017-03-16,17,10,7,3,15,10,0,85,8,1027,7.875,18,9,10,113,113,113,0,1,11.6,météo correcte
2017-03-17,18,13,9,7,17,13,0.5,68,10,1022,12.375,18,9,12,113,113,116,0,1,11.6,météo favorable
2017-03-18,12,9,13,7,10,9,0,92,6.5,1022,94.625,12,8,9,248,122,122,0,1,6,météo défavorable
2017-03-19,12,10,12,6,12,10,0,97,5,1021,89.125,12,10,9,143,122,143,0,1,6,météo défavorable
2017-03-20,15,10,6,8,13,10,0.2,91,6.5,1017,77.25,15,8,9,143,116,122,0,1,10.2,météo défavorable
2017-03-21,13,8,9,6,12,8,1.5,86,7.875,1016,84.5,13,8,7,122,116,122,0,1,8.8,météo défavorable
2017-03-22,11,5,9,2,9,7,0.9,82,7.875,1015,82.375,11,5,4,143,122,122,0,1,7.5,météo très défavorable
2017-03-23,13,8,41,6,13,8,3.9,84,9.5,1016,62.5,13,7,7,119,200,122,0,1,8.8,météo correcte
2017-03-24,9,6,12,4,8,8,4.5,96,5.25,1020,99.875,9,7,5,143,122,143,0,1,6.3,météo défavorable
2017-03-25,11,6,20,7,11,6,1.9,93,5.125,1020,89.125,11,7,4,248,119,122,0,1,7.6,météo défavorable
2017-03-26,12,6,10,3,12,6,0.6,86,7,1021,39,12,5,6,143,116,113,0,1,11.6,météo défavorable
2017-03-27,14,9,28,4,14,9,0,90,10,1023,10.125,14,7,7,113,113,113,0,1,11.6,météo correcte
2017-03-28,16,10,9,7,16,10,0,71,10,1027,18.875,17,6,9,116,113,113,0,1,11.6,météo correcte
2017-03-29,16,9,13,6,16,9,0,87,9,1028,4.75,16,8,10,143,113,113,0,1,11.6,météo correcte
2017-03-30,19,11,20,6,19,11,0,82,10,1026,16.5,19,9,11,113,113,113,0,1,11.6,météo favorable
2017-03-31,16,10,23,6,16,10,0,72,10,1023,68.25,16,5,10,122,113,122,0,1,9,météo défavorable
2017-04-01,9,6,6,6,8,6,5.9,96,7.375,1017,98.375,9,6,7,122,122,143,0,1,6.4,météo défavorable
2017-04-02,8,7,20,5,8,8,2.7,95,4.875,1022,100,8,7,3,143,122,122,0,1,6.5,météo très défavorable
2017-04-03,14,10,16,5,13,11,0.8,93,8,1023,73.5,14,10,9,122,119,113,0,1,7.8,météo défavorable
2017-04-04,14,9,23,6,14,9,0.2,85,6.875,1023,27.375,14,8,7,143,116,113,0,1,11.6,météo correcte
2017-04-05,12,9,33,5,12,9,0.1,85,7,1023,42.625,12,7,6,143,116,116,0,1,11.6,météo défavorable
2017-04-06,10,5,27,6,7,7,0.3,88,9,1023,82.25,10,6,1,122,122,116,0,1,7.8,météo très défavorable
2017-04-07,13,8,14,3,12,9,0,90,7,1024,10.375,13,8,6,113,113,113,0,1,11.6,météo correcte
2017-04-08,17,11,8,6,16,11,0,88,8,1022,7,18,10,11,113,113,113,0,1,11.6,météo correcte
2017-04-09,20,13,9,8,20,13,0.3,75,10,1024,3.625,21,9,13,113,113,113,0,1,11.6,météo favorable
2017-04-10,20,14,17,11,20,14,8.1,90,9.375,1024,11.625,20,12,13,113,113,113,0,1,11.6,météo correcte
2017-04-11,13,9,24,8,12,9,4.2,87,7.625,1023,57.125,13,10,6,143,116,113,0,1,10.3,météo correcte
2017-04-12,16,10,6,6,15,10,0,86,9,1023,7,17,8,11,113,113,113,0,1,11.6,météo correcte
2017-04-13,16,12,16,9,16,12,0,92,9,1019,33,16,10,11,119,116,113,0,1,12,météo correcte
2017-04-14,14,12,11,9,14,12,1.3,91,7.875,1018,76.375,15,11,12,116,122,200,0,1,10.9,météo défavorable
2017-04-15,12,8,22,9,12,8,0,81,7,1022,74.25,12,9,6,143,122,116,0,1,9.8,météo défavorable
2017-04-16,12,8,22,7,12,8,0.1,84,8,1024,76.75,12,7,5,119,122,119,0,1,9.8,météo défavorable
2017-04-17,11,9,15,5,11,9,0,85,9,1023,54.5,11,6,7,116,119,122,0,1,11,météo défavorable
2017-04-18,8,4,33,3,8,4,0.2,68,9,1025,34.125,8,5,-0,116,113,113,0,1,13.8,météo très défavorable
2017-04-19,7,3,32,0,7,3,0,69,10,1029,13.625,7,0,-1,113,113,113,0,1,13.8,météo très défavorable
2017-04-20,8,4,23,-2,7,4,0,67,9,1031,19,8,0,-0,119,113,113,0,1,13.3,météo très défavorable
2017-04-21,11,5,10,1,10,5,0,79,10,1031,1.5,11,2,4,113,113,113,0,1,13.9,météo très défavorable
2017-04-22,15,10,13,6,15,10,0,88,9,1027,14,15,8,9,113,113,116,0,1,13.9,météo correcte
2017-04-23,12,7,20,5,12,7,0,87,6.5,1023,35.375,12,6,6,143,113,113,0,1,13.3,météo défavorable
2017-04-24,18,13,18,6,18,13,0.2,74,9.875,1020,11.5,19,9,11,113,113,113,0,1,14,météo favorable
2017-04-25,12,9,16,8,9,9,6.7,93,9.5,1014,84,12,9,7,122,122,122,0,1,8.8,météo défavorable
2017-04-26,6,4,14,2,5,4,4,87,8.25,1015,95,6,6,1,122,119,122,0,1,8.8,météo très défavorable
2017-04-27,6,3,24,1,6,3,0.9,83,8.375,1016,72.75,6,1,-1,122,122,113,0.8,1,11.1,météo très défavorable
2017-04-28,8,4,26,1,7,4,0,81,10,1019,28,8,1,1,113,116,113,0,1,14.1,météo très défavorable
2017-04-29,13,8,15,2,11,9,0,78,9,1019,10.75,13,6,6,113,113,113,0,1,14.1,météo correcte
2017-04-30,14,10,51,7,14,10,5,72,9.625,1014,34.875,14,6,6,113,113,119,0,1,13.4,météo correcte
2017-05-01,9,6,12,3,9,6,1.8,84,9.875,1020,68.125,9,5,5,119,200,116,0,1,11.1,météo défavorable
2017-05-02,10,7,17,6,8,7,4.2,90,8.25,1020,93.625,10,6,6,122,200,122,0,1,8.9,météo défavorable
2017-05-03,12,9,4,6,12,9,0,85,7.75,1020,88.875,13,7,10,122,122,122,0,1,10,météo défavorable
2017-05-04,12,9,10,7,12,9,1.2,81,7.5,1019,53.5,12,8,9,122,116,113,0,1,13.4,météo défavorable
2017-05-05,16,11,17,6,14,12,0,81,8,1019,18,16,9,10,113,116,116,0,1,14.3,météo correcte
2017-05-06,10,9,14,10,9,10,8.1,97,8.125,1018,65.875,10,9,7,116,248,119,0,1,10.1,météo défavorable
2017-05-07,12,10,21,9,12,10,0,95,7.75,1020,79.75,12,9,8,119,116,143,0,1,10.1,météo défavorable
2017-05-08,11,8,19,7,10,8,0.3,87,6.5,1020,93.75,11,8,5,122,122,122,0,1,9,météo défavorable
2017-05-09,13,7,16,4,11,10,0,87,8,1020,45,13,8,4,119,116,113,0,1,12.3,météo correcte
2017-05-10,17,13,28,8,17,13,0.3,86,6.875,1011,62.125,17,11,12,113,113,122,0,1,12.4,météo correcte
2017-05-11,13,11,29,11,13,12,3.8,93,9.375,1005,69.375,13,11,9,122,122,122,0,1,9.3,météo défavorable
2017-05-12,14,11,10,10,13,13,6.9,94,6.875,1010,65.5,14,12,11,143,200,116,0,1,10.3,météo défavorable
2017-05-13,16,13,7,11,15,13,1.5,89,9.625,1019,46.75,16,12,14,116,122,200,0,1,12.4,météo correcte
2017-05-14,17,14,8,11,17,14,1.9,85,9.875,1027,34.875,18,12,15,116,200,116,0,1,14.5,météo correcte
2017-05-15,19,16,13,12,18,16,0,84,9,1029,18,19,13,16,116,116,113,0,1,14.5,météo favorable
2017-05-16,22,17,8,14,21,19,0,82,10,1028,22.375,25,16,18,113,116,113,0,1,14.5,météo favorable
2017-05-17,23,18,20,15,23,18,0,77,10,1025,13.75,25,15,18,113,113,113,0,1,14.5,météo favorable
2017-05-18,21,16,28,14,21,16,0,74,10,1017,72.5,21,13,16,122,119,116,0,1,12.5,météo défavorable
2017-05-19,13,10,8,7,12,11,10.3,79,8.375,1021,73.875,14,8,9,122,119,116,0,1,11.4,météo défavorable
2017-05-20,14,11,11,7,13,11,0,83,10,1026,45.875,14,9,10,116,119,113,0,1,13.5,météo correcte
2017-05-21,17,13,12,9,15,13,0,80,9,1026,10.5,17,11,12,113,113,113,0,1,14.5,météo correcte
2017-05-22,22,17,14,11,21,17,0,74,10,1019,20,24,13,17,116,113,116,0,1,14.5,météo favorable
2017-05-23,21,19,18,15,21,19,0.9,92,10,1022,18.5,24,17,19,113,113,113,0,1,14.5,météo favorable
2017-05-24,20,18,21,15,20,18,0,88,5.75,1023,39.125,20,16,18,143,113,113,0,1,13.5,météo favorable
2017-05-25,22,18,19,14,21,19,0,85,6.5,1020,32,25,16,18,116,113,113,0,1,14.5,météo favorable
2017-05-26,25,20,14,16,25,21,0.1,81,7.75,1017,28.5,26,18,20,113,116,113,0,1,14.5,météo favorable
2017-05-27,25,21,14,16,25,21,0,80,10,1020,8.75,26,18,22,113,113,113,0,1,14.5,météo idéale
2017-05-28,25,21,20,16,25,21,0,76,10,1021,13.125,26,17,21,113,113,113,0,1,14.5,météo idéale
2017-05-29,25,19,21,15,25,19,0,70,10,1019,69.625,26,14,19,116,119,122,0,1,10.7,météo défavorable
2017-05-30,24,20,6,17,23,20,0,75,10,1019,43.5,25,16,20,122,116,113,0,1,12.6,météo favorable
2017-05-31,22,18,11,16,21,18,5.1,85,8.375,1021,48.75,25,16,18,119,200,113,0,1,12.6,météo correcte
2017-06-01,22,19,9,16,22,19,0,79,9.875,1021,25.75,25,15,19,116,113,113,0,1,14.5,météo favorable
2017-06-02,23,20,7,15,23,21,1.2,81,9.875,1020,21.75,25,18,20,113,116,113,0,1,14.5,météo favorable
2017-06-03,21,15,9,17,21,15,4.3,94,7.375,1017,56.5,24,17,15,113,122,143,0,1,11.7,météo correcte
2017-06-04,16,14,14,13,14,14,0.5,84,9,1019,81.375,16,12,13,122,122,122,0,1,9.8,météo défavorable
2017-06-05,19,16,16,12,18,17,0,79,10,1016,54.25,19,13,16,122,116,113,0,1,13.6,météo favorable
2017-06-06,16,14,28,13,16,14,0,75,9.875,1019,33.625,16,11,12,200,119,113,0,1,12.6,météo correcte
2017-06-07,14,12,14,10,13,13,0,79,10,1022,46.75,14,10,11,116,122,116,0,1,12.6,météo correcte
2017-06-08,23,16,15,12,21,19,0,78,10,1021,16.25,25,15,17,113,113,113,0,1,14.5,météo favorable
2017-06-09,23,18,6,14,23,20,0,78,10,1019,36.875,25,16,19,119,113,116,0,1,13.6,météo favorable
2017-06-10,23,20,10,16,22,21,0,80,9,1020,28.375,25,18,20,116,113,113,0,1,14.5,météo favorable
2017-06-11,28,23,6,19,27,25,0,75,10,1020,8,30,21,23,113,113,113,0,1,14.5,météo idéale
2017-06-12,25,21,17,20,25,21,2.9,92,7.375,1019,59.875,27,21,21,116,116,122,0,1,12.6,météo correcte
2017-06-13,26,20,10,17,25,23,1.1,88,7.5,1018,45.375,28,22,21,116,113,113,0,1,13.6,météo favorable
2017-06-14,26,23,8,19,26,23,5.2,85,7.25,1017,43.625,28,21,24,143,113,113,0,1,13.6,météo favorable
2017-06-15,26,24,10,20,26,24,0,79,10,1020,13.875,28,20,24,113,113,113,0,1,14.5,météo idéale
2017-06-16,23,20,22,19,23,20,0.3,83,9,1024,54,25,18,20,119,116,116,0,1,12.7,météo favorable
