#### EXPORT DONNEES METEO POUR "SAINT-CHAMOND" (LAT/LON: 45.47365/4.52541)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2019-01-01,6,3,10,0,5,3,0.6,95,6.125,1034,83.5,6,3,1,248,176,116,0,1,3.3,météo très défavorable
2019-01-02,3,-1,26,1,3,-1,0.4,89,9.875,1036,62.625,3,2,-6,311,368,113,0.1,1,5.1,météo très défavorable
2019-01-03,2,-1,23,-4,2,1,0,72,10,1036,12.125,3,0,-6,116,113,113,0,1,8.7,météo très défavorable
2019-01-04,3,-2,18,-4,2,1,0,86,9,1037,30.875,3,0,-6,119,116,116,0,1,6.9,météo très défavorable
2019-01-05,3,0,18,-1,2,2,0.4,86,8.375,1036,87.875,3,0,-5,119,326,176,0.1,1,3.3,météo très défavorable
2019-01-06,2,0,19,-1,2,-0,1,89,8.125,1035,87.625,2,1,-5,326,332,326,0.7,1,3.3,météo très défavorable
2019-01-07,3,-2,15,-4,2,0,0.5,87,9,1035,83.875,3,0,-6,119,332,119,0.3,1,3.4,météo très défavorable
2019-01-08,6,2,13,-1,5,4,1.1,95,5,1035,87.75,6,4,0,143,266,266,0,1,3.4,météo très défavorable
2019-01-09,2,0,27,1,2,-0,4.5,89,4.875,1024,86.25,2,1,-6,368,332,338,2.8,1,3.4,météo très défavorable
2019-01-10,-0,-2,24,-2,-0,-0,2.8,86,4.625,1025,94.375,0,0,-8,338,332,326,2.4,1,3.4,météo très défavorable
2019-01-11,0,-5,13,-7,-1,-0,0.6,92,8.125,1029,68.875,0,0,-9,326,116,116,0.3,1,8.7,météo très défavorable
2019-01-12,3,1,14,0,3,2,1.1,97,5.375,1029,97,3,2,-2,338,176,176,0.4,1,3.4,météo très défavorable
2019-01-13,7,4,14,3,7,6,3.7,96,6.5,1027,100,7,6,2,296,296,176,0,1,3.4,météo très défavorable
2019-01-14,7,4,19,6,7,4,2.1,92,7.875,1024,81,7,5,0,266,353,176,0,1,3.4,météo très défavorable
2019-01-15,6,0,9,-3,5,3,0,89,6.625,1026,18.5,6,1,-2,143,116,116,0,1,8.7,météo très défavorable
2019-01-16,10,2,12,-2,8,8,0,82,10,1022,12.5,10,2,-1,116,116,116,0,1,8.7,météo très défavorable
2019-01-17,7,5,12,3,7,5,1.4,83,7.875,1018,55.5,7,3,2,116,266,353,0,1,3.4,météo très défavorable
2019-01-18,3,0,13,-2,2,1,0.9,90,9.25,1019,71.875,4,0,-4,371,119,119,0.6,1,6.9,météo très défavorable
2019-01-19,6,-1,7,-5,4,4,0,58,10,1018,41.875,6,0,-3,116,116,116,0,1,8.7,météo très défavorable
2019-01-20,6,1,7,-1,6,3,1.5,88,9.25,1017,71.625,6,1,-1,116,116,263,0,1,5.2,météo très défavorable
2019-01-21,3,-1,14,0,2,-1,3.4,94,4.5,1020,96.875,3,0,-4,338,332,368,2,1,3.4,météo très défavorable
2019-01-22,5,-3,5,-6,3,3,1.7,76,7.75,1020,69.125,5,0,-4,143,116,122,0.3,1,5.2,météo très défavorable
2019-01-23,1,-1,19,-1,1,-1,4.9,95,7.625,1005,89,1,0,-6,122,395,371,4.1,1,3.5,météo très défavorable
2019-01-24,-2,-4,21,-6,-2,-4,2.3,93,4.75,1016,90.625,0,0,-10,338,332,368,1.9,1,3.5,météo très défavorable
2019-01-25,0,-6,12,-8,-2,-3,0.2,94,8.125,1021,57.5,0,0,-10,326,116,116,0.1,1,8.7,météo très défavorable
2019-01-26,4,0,5,-1,3,2,0.2,99,2,1021,94,4,4,-1,326,248,248,0,1,3.5,météo très défavorable
2019-01-27,6,3,24,3,6,3,4,90,8.5,1011,72.25,6,3,-2,116,176,389,0,1,3.5,météo très défavorable
2019-01-28,3,0,17,-2,3,0,0.5,86,9.375,1012,68.25,3,0,-5,116,326,371,0.4,1,3.5,météo très défavorable
2019-01-29,4,-2,18,-5,3,2,1.5,82,8,1014,71,4,0,-4,116,116,122,1,1,5.2,météo très défavorable
2019-01-30,3,0,17,0,2,1,2.3,79,8,1005,81.375,3,0,-5,335,122,371,0.9,1,3.5,météo très défavorable
