#### EXPORT DONNEES METEO POUR "SAINT-CHAMOND" (LAT/LON: 45.47365/4.52541)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2020-01-01,8,2,5,-0,8,6,0,83,10,1033,0.5,8,3,1,113,113,113,0,1,8.7,météo très défavorable
2020-01-02,8,3,5,2,8,3,0,82,10,1033,23.375,8,2,2,113,113,116,0,1,8.7,météo très défavorable
2020-01-03,9,4,6,2,7,7,0,75,10,1032,45.75,9,2,2,116,116,116,0,1,8.7,météo très défavorable
2020-01-04,7,4,13,5,7,4,0.8,94,8.25,1034,80.25,7,5,3,176,176,176,0,1,3.3,météo très défavorable
2020-01-05,5,1,9,-1,4,3,0,88,5.875,1035,57,5,1,-2,143,119,116,0,1,6.9,météo très défavorable
2020-01-06,12,4,5,1,10,9,0,82,9.625,1032,1.625,12,6,4,113,113,113,0,1,8.7,météo très défavorable
2020-01-07,7,3,7,1,7,4,0,92,8.375,1031,58,7,5,2,122,122,116,0,1,5.1,météo très défavorable
2020-01-08,8,6,3,5,7,7,0,93,7.625,1031,91.25,8,7,6,143,122,122,0,1,3.4,météo très défavorable
2020-01-09,11,6,10,5,10,8,0,85,10,1030,31.625,11,6,5,116,116,116,0,1,8.7,météo défavorable
2020-01-10,9,5,9,6,9,5,2,90,7.25,1030,84.125,9,5,3,296,116,176,0,1,3.4,météo très défavorable
2020-01-11,5,2,7,0,4,3,0.3,95,6.25,1033,75.125,5,2,-1,248,119,119,0,1,3.4,météo très défavorable
2020-01-12,8,2,4,-1,8,5,0,70,10,1031,42.125,8,1,2,116,116,122,0,1,6.9,météo très défavorable
2020-01-13,8,3,8,2,7,7,0,83,10,1028,62.25,8,5,3,119,122,116,0,1,5.2,météo très défavorable
2020-01-14,9,4,11,2,9,6,0,87,10,1021,39,9,5,2,122,116,116,0,1,8.7,météo très défavorable
2020-01-15,9,6,19,6,9,6,0,85,10,1027,41.375,9,4,4,116,122,116,0,1,5.2,météo défavorable
2020-01-16,11,5,8,1,10,10,0,84,10,1029,13.75,12,6,4,116,116,116,0,1,8.7,météo très défavorable
2020-01-17,8,5,13,4,8,5,4.8,89,8.625,1028,51.875,8,6,4,116,176,266,0,1,3.4,météo très défavorable
2020-01-18,5,2,8,-1,5,3,0.2,89,8.375,1031,46,5,1,1,116,116,176,0,1,8.7,météo très défavorable
2020-01-19,3,0,23,-2,2,0,0,86,7.25,1035,61.5,3,0,-4,260,119,116,0,1,6.9,météo très défavorable
2020-01-20,4,-2,8,-4,2,2,0,86,8,1040,34.125,4,0,-5,143,116,116,0,1,8.7,météo très défavorable
2020-01-21,5,0,4,-3,4,2,0,74,10,1040,42.5,5,0,0,116,116,116,0,1,8.7,météo très défavorable
2020-01-22,6,1,6,-2,6,3,0,72,10,1037,30.25,6,0,1,116,122,116,0,1,7,météo très défavorable
2020-01-23,7,2,7,-2,6,5,0,84,10,1030,28.875,7,2,2,116,116,116,0,1,8.7,météo très défavorable
2020-01-24,9,2,5,-0,8,5,0.2,87,10,1026,46.375,9,5,2,116,116,176,0,1,7,météo très défavorable
2020-01-25,10,4,6,1,9,7,0.4,88,9.875,1024,51.375,10,5,3,116,116,176,0,1,7,météo très défavorable
2020-01-26,10,4,6,3,8,8,6.1,93,7.875,1021,75,10,6,3,122,266,353,0,1,3.5,météo très défavorable
2020-01-27,10,5,11,2,9,7,0.3,77,8.875,1022,70.375,10,4,3,116,116,122,0,1,5.2,météo très défavorable
2020-01-28,7,4,27,6,7,4,0.5,85,9.375,1016,82.375,7,5,1,176,176,176,0,1,3.5,météo très défavorable
2020-01-29,8,5,10,4,6,7,2.4,92,8.625,1023,82.375,9,5,3,176,266,176,0,1,3.5,météo très défavorable
