#### EXPORT DONNEES METEO POUR "SAINT-CHAMOND" (LAT/LON: 45.47365/4.52541)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,7,4,24,2,7,4,0,83,10,1020,57.875,7,3,1,116,122,116,0,1,5.1,météo très défavorable
2018-01-02,6,3,10,1,6,5,0.8,90,9.875,1024,79.375,6,5,0,116,122,122,0,1,3.3,météo très défavorable
2018-01-03,12,6,26,10,11,6,3.7,92,8,1019,71.125,12,8,5,122,116,122,0,1,6.9,météo défavorable
2018-01-04,13,9,22,11,13,9,0,82,10,1016,82.25,13,9,8,116,116,122,0,1,5.1,météo défavorable
2018-01-05,13,9,18,9,13,9,1.9,85,9.875,1012,58.875,13,8,7,119,116,116,0,1,8.7,météo correcte
2018-01-06,11,8,35,7,11,8,0.3,85,9.375,1008,77.125,11,6,5,119,116,122,0,1,6.9,météo défavorable
2018-01-07,8,3,6,3,8,3,0,84,7,1014,66.875,8,6,3,143,116,119,0,1,6.9,météo très défavorable
2018-01-08,7,4,4,2,7,4,0.9,88,6.375,1014,88.625,8,3,4,143,122,122,0,1,5.1,météo très défavorable
2018-01-09,7,4,22,3,6,5,2.6,95,6.625,1016,68,7,4,1,143,122,113,0,1,3.4,météo très défavorable
2018-01-10,8,4,14,5,8,4,1.2,91,9.25,1016,81,8,4,2,122,122,119,0,1,3.4,météo très défavorable
2018-01-11,6,4,15,2,6,4,0.2,95,7.375,1020,76.125,7,3,1,122,122,143,0,1,3.4,météo très défavorable
2018-01-12,4,3,13,3,4,3,0.6,95,6,1025,96.375,4,3,0,143,122,143,0,1,3.4,météo très défavorable
2018-01-13,7,2,18,1,7,3,0,93,6.5,1025,54.125,7,1,-1,248,116,113,0,1,6.9,météo très défavorable
2018-01-14,6,1,11,2,6,1,0.8,89,8,1022,74.75,6,2,1,122,122,116,0,1,5.2,météo très défavorable
2018-01-15,8,3,20,0,8,4,0,81,10,1024,58.875,8,2,0,113,119,122,0,1,6.9,météo très défavorable
2018-01-16,9,7,13,7,9,8,0,86,10,1015,72.75,9,6,5,119,116,119,0,1,6.9,météo défavorable
2018-01-17,7,1,31,2,4,1,0,83,10,1025,45.375,7,4,-2,116,116,113,0,1,8.7,météo très défavorable
2018-01-18,10,6,23,4,10,7,0,79,10,1025,67.5,10,4,4,122,116,122,0,1,8.7,météo défavorable
2018-01-19,7,3,10,5,6,3,0.5,83,9.875,1021,54.625,7,5,1,116,119,116,0,1,5.2,météo très défavorable
2018-01-20,8,3,14,1,3,7,1.6,94,8.875,1022,80.25,8,7,-1,122,122,143,0,1,3.4,météo très défavorable
2018-01-21,8,5,10,5,6,5,1.8,94,6.875,1019,94.75,8,7,3,122,122,143,0,1,3.4,météo très défavorable
2018-01-22,12,9,23,9,12,9,0,88,10,1023,71.5,12,8,7,122,116,116,0,1,7,météo défavorable
2018-01-23,9,5,8,3,9,6,0,87,8,1029,35,10,5,5,143,113,116,0,1,8.7,météo très défavorable
2018-01-24,12,6,16,4,12,6,0,90,9,1030,22.875,13,5,4,143,113,113,0,1,8.7,météo défavorable
2018-01-25,10,8,33,7,10,9,0,80,10,1024,72.625,10,5,5,116,122,122,0,1,3.5,météo défavorable
2018-01-26,8,2,14,3,3,2,21.1,95,7.25,1023,97.75,8,5,-1,143,122,122,0,1,3.5,météo très défavorable
2018-01-27,5,2,9,2,4,2,5.4,97,4.125,1038,80.375,5,4,-0,248,143,143,0,1,3.5,météo très défavorable
2018-01-28,8,3,6,0,7,3,0,87,9,1040,29.75,8,2,2,113,113,116,0,1,8.7,météo très défavorable
2018-01-29,9,5,7,3,7,6,0,93,6.5,1039,82.875,9,5,6,248,116,119,0,1,3.5,météo très défavorable
2018-01-30,7,5,8,4,7,5,0,91,6.5,1034,80.25,7,5,4,248,119,119,0,1,3.5,météo très défavorable
2018-01-31,10,4,13,0,9,5,0,94,9,1029,24.75,10,5,2,113,113,143,0,1,8.7,météo très défavorable
2018-02-01,5,0,13,4,5,0,3.4,85,9.125,1012,68.75,5,2,-1,122,116,116,0.1,1,8.7,météo très défavorable
2018-02-02,3,-1,19,-2,3,-1,0,88,8,1012,45,3,0,-5,143,116,116,0,1,7,météo très défavorable
2018-02-03,3,-1,16,-1,3,-1,0,85,10,1011,72.625,3,0,-4,122,119,116,0,1,5.3,météo très défavorable
2018-02-04,4,-1,8,-2,3,-1,0.1,92,9.625,1017,71.625,4,0,-1,119,122,116,0.1,1,3.7,météo très défavorable
2018-02-05,-0,-2,7,-2,-1,-2,4.4,98,2.5,1018,100,0,0,-4,143,143,260,3.8,1,3.7,météo très défavorable
2018-02-06,5,0,7,-1,5,0,2.1,96,5,1014,93.125,5,2,-2,143,122,143,0.7,1,3.7,météo très défavorable
2018-02-07,-1,-3,17,-3,-1,-3,0.2,79,9.625,1018,76.75,0,0,-7,116,122,116,0.2,1,3.8,météo très défavorable
2018-02-08,1,-2,15,-3,1,-2,0.4,87,8.75,1021,97.875,1,0,-5,122,122,122,0.3,1,3.8,météo très défavorable
2018-02-09,4,-1,5,-4,3,0,0.6,77,9,1021,60.625,4,0,-2,116,113,119,0.5,1,10,météo très défavorable
2018-02-10,1,-3,18,-4,0,-3,0.1,93,8.625,1021,67.5,1,0,-7,143,122,116,0.1,1,6.8,météo très défavorable
2018-02-11,7,1,6,-1,4,2,0,97,7.75,1020,78.125,7,5,-1,119,122,248,0,1,5.3,météo très défavorable
2018-02-12,1,-3,20,-3,1,-3,0.9,91,8.375,1022,33,1,0,-7,143,113,113,0.8,1,10.6,météo très défavorable
2018-02-13,3,-2,12,-6,1,-2,1.2,82,9,1021,55,3,0,-6,113,116,122,1,1,8.4,météo très défavorable
2018-02-14,3,0,6,-3,3,-0,1.6,94,6,1018,62.625,3,1,-2,143,113,143,1.3,1,10,météo très défavorable
2018-02-15,12,6,9,3,11,6,0.8,94,8.875,1024,85.625,12,9,4,143,119,116,0,1,6.9,météo défavorable
2018-02-16,9,5,9,6,9,5,1.3,98,4.375,1025,95.375,9,7,5,143,122,248,0,1,5.3,météo très défavorable
2018-02-17,9,5,16,6,9,5,0.7,92,7.75,1024,88.125,9,7,3,119,122,122,0,1,6.9,météo très défavorable
2018-02-18,4,-2,17,-1,4,-2,0.1,92,8.625,1025,36.5,5,1,-3,143,113,113,0.1,1,10.7,météo très défavorable
2018-02-19,6,0,10,-3,5,0,0,63,10,1022,36.625,6,0,-1,113,116,119,0,1,8.5,météo très défavorable
2018-02-20,5,0,22,0,4,-0,0,77,10,1016,49.25,5,0,-5,119,116,116,0,1,10.8,météo très défavorable
2018-02-21,1,-2,25,-5,1,-1,0,67,10,1016,56.875,1,0,-8,116,116,119,0,1,5.4,météo très défavorable
2018-02-22,1,-3,21,-3,-0,-3,0.3,74,9,1012,72.25,1,0,-8,122,119,119,0.3,1,7,météo très défavorable
2018-02-23,2,-4,13,-5,1,-4,0,85,10,1011,58.625,2,0,-6,116,122,113,0,1,8.5,météo très défavorable
2018-02-24,3,-3,13,-4,3,-3,0,72,10,1013,43.25,4,0,-4,122,113,113,0,1,10.9,météo très défavorable
2018-02-25,1,-4,22,-4,1,-4,0,71,10,1017,17.25,1,0,-10,113,119,113,0,1,10.1,météo très défavorable
2018-02-26,-3,-7,29,-8,-4,-7,0,42,10,1017,4.75,0,0,-15,113,113,113,0,1,11,météo très défavorable
2018-02-27,-5,-9,18,-11,-6,-8,0,44,10,1016,7.75,0,0,-16,113,113,113,0,1,11,météo très défavorable
2018-02-28,-1,-7,22,-11,-4,-2,0.8,85,8.375,1015,60.125,0,0,-12,116,122,122,0.7,1,7,météo très défavorable
2018-03-01,7,2,21,0,7,2,0.2,97,7.375,1000,80.25,7,6,-2,143,119,119,0.2,1,5.5,météo très défavorable
2018-03-02,8,2,12,3,6,2,0.8,89,8.875,999,67.5,8,3,-1,143,122,113,0,1,8.6,météo très défavorable
2018-03-03,11,5,19,2,10,5,4.2,89,8.5,1002,59.625,11,4,3,143,116,113,0,1,10.1,météo très défavorable
2018-03-04,11,5,31,1,11,5,0.1,95,9,1003,59.5,11,6,5,116,122,143,0,1,7.1,météo très défavorable
2018-03-05,11,6,17,2,11,6,0.3,87,7.75,1001,67.875,11,5,4,248,122,116,0,1,8.6,météo défavorable
2018-03-06,10,4,7,4,10,4,1.9,88,8.75,998,61.5,11,4,3,143,116,116,0,1,10.1,météo très défavorable
2018-03-07,8,3,17,1,8,3,1.5,81,9.875,1011,44.5,8,1,0,122,200,113,0,1,10.1,météo très défavorable
2018-03-08,11,6,23,-0,11,6,0,78,10,1012,16.125,11,3,3,113,113,113,0,1,11.3,météo défavorable
2018-03-09,12,8,24,5,12,8,0.2,83,8,1013,57.5,13,6,5,116,113,122,0,1,10.1,météo défavorable
2018-03-10,14,11,31,8,14,11,2,78,9.875,1009,51.375,14,8,8,122,113,113,0,1,11.4,météo correcte
2018-03-11,14,9,28,10,14,9,0.8,83,9.125,1001,51.875,14,8,7,200,113,113,0,1,11.4,météo correcte
2018-03-12,11,6,24,5,11,6,0.1,77,10,1011,73.25,11,6,4,119,122,116,0,1,7.2,météo défavorable
2018-03-13,9,5,13,3,8,5,1.1,88,10,1017,54.75,9,3,3,116,116,122,0,1,7.3,météo très défavorable
2018-03-14,12,7,22,1,11,8,0,75,10,1017,18.625,12,3,5,116,113,116,0,1,11.6,météo défavorable
2018-03-15,9,4,18,9,6,4,0.5,90,9.375,1002,70.875,9,6,3,122,122,116,0,1,8.8,météo très défavorable
2018-03-16,12,6,7,2,12,6,6.4,91,9.125,1005,61.875,12,5,6,116,200,122,0,1,8.8,météo défavorable
2018-03-17,9,3,14,3,7,3,0,87,9,1003,74.25,9,4,2,143,119,116,0,1,8.8,météo très défavorable
2018-03-18,6,2,22,1,6,2,0,80,9,1005,76.75,6,1,-2,122,116,122,0,1,7.4,météo très défavorable
2018-03-19,7,0,12,-2,6,0,0,78,7,1007,46.625,7,0,-2,143,113,113,0,1,10.2,météo très défavorable
2018-03-20,3,-1,32,-2,2,-1,0.4,74,9,1019,71.375,3,0,-7,122,122,116,0.3,1,8.8,météo très défavorable
2018-03-21,4,0,34,-3,3,-0,0,59,10,1026,18.75,4,0,-6,116,113,113,0,1,11.6,météo très défavorable
2018-03-22,6,2,24,-3,5,2,0,76,10,1026,36.5,6,0,-3,113,113,122,0,1,10.2,météo très défavorable
2018-03-23,8,2,12,1,7,2,0,92,9,1017,67.125,9,1,-0,122,119,113,0,1,8.8,météo très défavorable
2018-03-24,11,6,15,-1,11,6,0.2,77,7,1003,42.25,11,3,5,143,116,116,0,1,11.6,météo défavorable
2018-03-25,12,7,13,3,11,7,0.3,74,9.875,1011,38.25,12,3,5,116,116,116,0,1,11.6,météo défavorable
2018-03-26,9,5,21,3,8,5,0.2,88,8,1019,60.875,9,5,2,143,122,116,0,1,7.7,météo très défavorable
2018-03-27,8,6,11,3,8,6,2,93,6.875,1021,86.875,8,6,4,122,122,122,0,1,6.4,météo très défavorable
2018-03-28,13,9,23,7,13,10,1.3,90,5,1016,80.375,14,7,7,143,116,122,0,1,9,météo défavorable
2018-03-29,12,8,8,4,11,8,0.9,65,10,1011,40.75,12,6,7,116,113,119,0,1,10.3,météo défavorable
2018-03-30,10,4,35,5,6,4,0.2,85,9.375,1007,36.5,10,4,3,116,122,113,0,1,10.3,météo très défavorable
2018-03-31,10,4,19,1,10,4,0.8,87,9.5,1010,38.625,10,3,0,113,116,116,0,1,10.3,météo très défavorable
2018-04-01,10,4,11,2,9,4,0,67,10,1017,30.625,11,0,3,116,113,113,0,1,11.6,météo très défavorable
2018-04-02,12,9,32,4,12,9,0,59,10,1016,87.625,12,4,6,119,122,122,0,1,6.5,météo défavorable
2018-04-03,16,11,33,8,15,11,0,70,10,1010,26.25,16,6,9,113,119,113,0,1,10.3,météo correcte
2018-04-04,15,8,19,10,14,8,1.2,89,9.625,1013,40.875,15,8,7,200,200,116,0,1,10.3,météo correcte
2018-04-05,12,8,12,5,11,8,0,77,10,1020,43.5,12,5,7,116,119,116,0,1,10.3,météo défavorable
2018-04-06,17,11,27,4,17,11,0,65,10,1019,9.25,17,7,9,113,113,113,0,1,11.6,météo correcte
2018-04-07,15,13,26,10,15,14,0.2,56,9,1014,75.125,15,6,11,122,122,122,0,1,6.5,météo défavorable
2018-04-08,17,13,14,7,16,13,0.4,80,9.625,1010,49.625,17,10,13,113,116,200,0,1,10.3,météo correcte
2018-04-09,13,10,23,9,13,10,4.2,81,8.25,1008,69.75,14,9,7,143,122,113,0,1,9.1,météo défavorable
2018-04-10,12,8,32,6,12,8,1.1,73,9.875,1005,57.5,13,5,6,122,113,122,0,1,10.3,météo défavorable
2018-04-11,11,8,6,5,9,8,1.5,90,9.25,1005,71.625,11,7,8,122,119,122,0,1,7.8,météo défavorable
2018-04-12,11,8,13,6,11,8,4.4,77,9,1005,64.5,11,5,6,116,122,116,0,1,9.1,météo défavorable
2018-04-13,13,10,23,5,13,10,0.3,78,8,1016,51.875,13,6,8,116,116,122,0,1,13.3,météo correcte
2018-04-14,13,9,6,8,12,9,2.4,94,6.75,1019,98.75,13,9,9,143,122,122,0,1,8.6,météo défavorable
2018-04-15,17,12,10,8,16,12,0.3,82,9.375,1018,51.625,17,9,12,116,113,116,0,1,13.7,météo correcte
2018-04-16,16,12,17,8,15,12,0.1,79,7,1020,41.75,16,9,10,143,116,116,0,1,13.3,météo correcte
2018-04-17,18,14,11,8,17,14,0,75,10,1026,5.375,18,10,13,113,113,113,0,1,13.8,météo favorable
2018-04-18,22,17,14,11,22,17,0,76,9,1027,7.625,25,14,17,113,113,113,0,1,13.8,météo favorable
2018-04-19,23,17,10,13,23,17,0,65,10,1028,5.125,24,12,19,113,113,113,0,1,13.8,météo favorable
2018-04-20,23,17,8,13,23,17,0,64,10,1025,5,25,12,19,113,113,113,0,1,13.9,météo favorable
2018-04-21,24,18,11,14,24,18,0,65,10,1022,5.875,25,12,19,113,113,113,0,1,13.9,météo idéale
2018-04-22,24,18,15,12,24,18,0.6,60,10,1019,8.875,24,10,18,113,113,113,0,1,13.9,météo idéale
2018-04-23,18,14,12,12,18,14,6.6,91,9,1021,37.75,18,14,15,116,200,116,0,1,14,météo correcte
2018-04-24,21,16,9,11,21,17,0,78,8,1021,33.375,21,12,16,116,116,113,0,1,14,météo favorable
2018-04-25,21,15,12,13,21,15,3.5,92,9.625,1019,44.625,21,15,15,113,116,122,0,1,12.2,météo favorable
2018-04-26,15,10,17,9,14,10,0,72,10,1022,50.75,15,9,9,116,113,122,0,1,13.4,météo correcte
2018-04-27,22,15,13,7,22,17,0.2,60,10,1016,18.25,24,9,15,113,113,116,0,1,14.1,météo favorable
2018-04-28,18,10,17,9,15,13,3.1,90,8.625,1015,60.375,18,13,10,143,119,113,0,1,11.1,météo correcte
2018-04-29,16,9,35,12,16,9,0,94,10,1009,44.125,16,11,6,113,122,122,0,1,12.2,météo correcte
2018-04-30,12,9,19,6,12,9,2,78,9.375,1013,41.875,12,6,7,113,113,116,0,1,13.4,météo défavorable
2018-05-01,10,7,10,5,8,8,2,82,7.25,1015,81.25,10,4,5,143,122,122,0,1,11.1,météo défavorable
2018-05-02,14,10,16,5,14,10,0,72,10,1014,37,14,6,9,116,116,113,0,1,14.2,météo correcte
